SD7032_101
 1.00000     0.00000
 0.99012     0.00154
 0.97102     0.00495
 0.94879     0.00928
 0.92544     0.01402
 0.90172     0.01889
 0.87798     0.02371
 0.85438     0.02844
 0.83079     0.03302
 0.80730     0.03742
 0.78378     0.04165
 0.76024     0.04569
 0.73670     0.04956
 0.71310     0.05324
 0.68948     0.05674
 0.66584     0.06005
 0.64217     0.06319
 0.61849     0.06614
 0.59478     0.06892
 0.57108     0.07150
 0.54734     0.07388
 0.52367     0.07607
 0.49996     0.07805
 0.47627     0.07980
 0.45260     0.08132
 0.42897     0.08260
 0.40536     0.08363
 0.38178     0.08438
 0.35826     0.08484
 0.33481     0.08500
 0.31143     0.08484
 0.28815     0.08432
 0.26499     0.08341
 0.24197     0.08210
 0.21917     0.08033
 0.19657     0.07807
 0.17428     0.07524
 0.15228     0.07183
 0.13072     0.06777
 0.10977     0.06303
 0.08963     0.05753
 0.07049     0.05120
 0.05281     0.04414
 0.03743     0.03668
 0.02523     0.02949
 0.01645     0.02315
 0.01043     0.01775
 0.00632     0.01319
 0.00353     0.00927
 0.00169     0.00581
 0.00053     0.00275
 0.00000     0.00000
 0.00036    -0.00260
 0.00203    -0.00494
 0.00474    -0.00692
 0.00838    -0.00870
 0.01327    -0.01031
 0.02011    -0.01188
 0.03001    -0.01374
 0.04417    -0.01560
 0.06292    -0.01709
 0.08447    -0.01815
 0.10721    -0.01871
 0.13055    -0.01889
 0.15421    -0.01879
 0.17803    -0.01848
 0.20199    -0.01799
 0.22608    -0.01737
 0.25022    -0.01665
 0.27445    -0.01585
 0.29867    -0.01500
 0.32282    -0.01409
 0.34695    -0.01314
 0.37116    -0.01216
 0.39541    -0.01114
 0.41965    -0.01009
 0.44387    -0.00903
 0.46807    -0.00795
 0.49221    -0.00685
 0.51633    -0.00575
 0.54055    -0.00466
 0.56480    -0.00357
 0.58897    -0.00250
 0.61315    -0.00146
 0.63739    -0.00046
 0.66159     0.00051
 0.68583     0.00144
 0.71002     0.00231
 0.73419     0.00310
 0.75833     0.00380
 0.78241     0.00439
 0.80643     0.00487
 0.83037     0.00520
 0.85423     0.00535
 0.87795     0.00530
 0.90152     0.00499
 0.92497     0.00439
 0.94815     0.00348
 0.97054     0.00225
 0.98998     0.00088
 1.00000     0.00000
